,SCENE_ID,PRODUCT_ID,SPACECRAFT_ID,SENSOR_ID,DATE_ACQUIRED,COLLECTION_NUMBER,COLLECTION_CATEGORY,SENSING_TIME,DATA_TYPE,WRS_PATH,WRS_ROW,CLOUD_COVER,NORTH_LAT,SOUTH_LAT,WEST_LON,EAST_LON,TOTAL_SIZE,BASE_URL
2003360,LC80360372020150LGN00,LC08_L1TP_036037_20200529_20200608_01_T1,LANDSAT_8,OLI_TIRS,2020-05-29,1,T1,2020-05-29T17:57:18.0725030Z,L1TP,36,37,0.04,34.22527,32.10892,-112.21382,-109.71236999999999,1076301320,gs://gcp-public-data-landsat/LC08/01/036/037/LC08_L1TP_036037_20200529_20200608_01_T1
9999084,LC80360362020150LGN00,LC08_L1TP_036036_20200529_20200608_01_T1,LANDSAT_8,OLI_TIRS,2020-05-29,1,T1,2020-05-29T17:56:54.1856999Z,L1TP,36,36,2.1,35.659490000000005,33.5409,-111.83081000000001,-109.28893000000001,1064845631,gs://gcp-public-data-landsat/LC08/01/036/036/LC08_L1TP_036036_20200529_20200608_01_T1
10431066,LC80380352020148LGN00,LC08_L1TP_038035_20200527_20200608_01_T1,LANDSAT_8,OLI_TIRS,2020-05-27,1,T1,2020-05-27T18:08:51.1171290Z,L1TP,38,35,0.22,37.12982,34.93572,-114.59281000000001,-111.92908999999999,1074500113,gs://gcp-public-data-landsat/LC08/01/038/035/LC08_L1TP_038035_20200527_20200608_01_T1
10187947,LC80350362020143LGN00,LC08_L1TP_035036_20200522_20200607_01_T1,LANDSAT_8,OLI_TIRS,2020-05-22,1,T1,2020-05-22T17:50:41.7692640Z,L1TP,35,36,0.02,35.665490000000005,33.53572,-110.27807,-107.74283999999999,1063813138,gs://gcp-public-data-landsat/LC08/01/035/036/LC08_L1TP_035036_20200522_20200607_01_T1
1991175,LC80350372020143LGN00,LC08_L1TP_035037_20200522_20200607_01_T1,LANDSAT_8,OLI_TIRS,2020-05-22,1,T1,2020-05-22T17:51:05.6603030Z,L1TP,35,37,0.01,34.23077,32.10393,-110.65541999999999,-108.16972,1071368775,gs://gcp-public-data-landsat/LC08/01/035/037/LC08_L1TP_035037_20200522_20200607_01_T1
1351072,LC80370352020141LGN00,LC08_L1TP_037035_20200520_20200527_01_T1,LANDSAT_8,OLI_TIRS,2020-05-20,1,T1,2020-05-20T18:02:39.1370860Z,L1TP,37,35,0.04,37.10245,34.95928,-113.02408,-110.41141,1076901467,gs://gcp-public-data-landsat/LC08/01/037/035/LC08_L1TP_037035_20200520_20200527_01_T1
1828722,LC80370362020141LGN00,LC08_L1TP_037036_20200520_20200527_01_T1,LANDSAT_8,OLI_TIRS,2020-05-20,1,T1,2020-05-20T18:03:03.0238889Z,L1TP,37,36,0.01,35.678490000000004,33.52429,-113.41803999999999,-110.84971000000002,1074313804,gs://gcp-public-data-landsat/LC08/01/037/036/LC08_L1TP_037036_20200520_20200527_01_T1
1606927,LC80360362020134LGN00,LC08_L1TP_036036_20200513_20200526_01_T1,LANDSAT_8,OLI_TIRS,2020-05-13,1,T1,2020-05-13T17:56:50.6078870Z,L1TP,36,36,0.0,35.65938,33.53841,-111.84738,-109.3055,1049074371,gs://gcp-public-data-landsat/LC08/01/036/036/LC08_L1TP_036036_20200513_20200526_01_T1
6388851,LC80360372020134LGN00,LC08_L1TP_036037_20200513_20200526_01_T1,LANDSAT_8,OLI_TIRS,2020-05-13,1,T1,2020-05-13T17:57:14.4989260Z,L1TP,36,37,0.0,34.22507,32.1091,-112.23336,-109.73191000000001,1082408028,gs://gcp-public-data-landsat/LC08/01/036/037/LC08_L1TP_036037_20200513_20200526_01_T1
5089984,LC80350362020127LGN00,LC08_L1TP_035036_20200506_20200509_01_T1,LANDSAT_8,OLI_TIRS,2020-05-06,1,T1,2020-05-06T17:50:39.6400499Z,L1TP,35,36,2.19,35.66577,33.53425,-110.32333999999999,-107.79245,1050274814,gs://gcp-public-data-landsat/LC08/01/035/036/LC08_L1TP_035036_20200506_20200509_01_T1
5810877,LC80350372020127LGN00,LC08_L1TP_035037_20200506_20200509_01_T1,LANDSAT_8,OLI_TIRS,2020-05-06,1,T1,2020-05-06T17:51:03.5268540Z,L1TP,35,37,0.06,34.22818,32.104890000000005,-110.69677,-108.21534,1065402702,gs://gcp-public-data-landsat/LC08/01/035/037/LC08_L1TP_035037_20200506_20200509_01_T1
7576503,LC80370362020125LGN00,LC08_L1TP_037036_20200504_20200509_01_T1,LANDSAT_8,OLI_TIRS,2020-05-04,1,T1,2020-05-04T18:03:02.5296030Z,L1TP,37,36,0.01,35.678540000000005,33.52349,-113.46108000000001,-110.89281000000001,1063027403,gs://gcp-public-data-landsat/LC08/01/037/036/LC08_L1TP_037036_20200504_20200509_01_T1
5874419,LC80370352020125LGN00,LC08_L1TP_037035_20200504_20200509_01_T1,LANDSAT_8,OLI_TIRS,2020-05-04,1,T1,2020-05-04T18:02:38.6470360Z,L1TP,37,35,0.03,37.10268,34.96128,-113.06793,-110.45868,1068349733,gs://gcp-public-data-landsat/LC08/01/037/035/LC08_L1TP_037035_20200504_20200509_01_T1
5110138,LC80360362020118LGN00,LC08_L1TP_036036_20200427_20200509_01_T1,LANDSAT_8,OLI_TIRS,2020-04-27,1,T1,2020-04-27T17:56:55.8483729Z,L1TP,36,36,4.98,35.65914,33.541540000000005,-111.88051999999999,-109.33861999999999,1045327372,gs://gcp-public-data-landsat/LC08/01/036/036/LC08_L1TP_036036_20200427_20200509_01_T1
2533899,LC80380352020116LGN00,LC08_L1TP_038035_20200425_20200509_01_T1,LANDSAT_8,OLI_TIRS,2020-04-25,1,T1,2020-04-25T18:08:54.6859410Z,L1TP,38,35,0.11,37.13207,34.934290000000004,-114.64347,-111.98167,1064686628,gs://gcp-public-data-landsat/LC08/01/038/035/LC08_L1TP_038035_20200425_20200509_01_T1
10007447,LC80350362020111LGN00,LC08_L1TP_035036_20200420_20200508_01_T1,LANDSAT_8,OLI_TIRS,2020-04-20,1,T1,2020-04-20T17:50:48.6545570Z,L1TP,35,36,3.62,35.66571,33.534,-110.31365,-107.78253000000001,1066331878,gs://gcp-public-data-landsat/LC08/01/035/036/LC08_L1TP_035036_20200420_20200508_01_T1
257704,LC80350372020111LGN00,LC08_L1TP_035037_20200420_20200508_01_T1,LANDSAT_8,OLI_TIRS,2020-04-20,1,T1,2020-04-20T17:51:12.5455960Z,L1TP,35,37,0.43,34.22815,32.104690000000005,-110.68723,-108.20558,1057450488,gs://gcp-public-data-landsat/LC08/01/035/037/LC08_L1TP_035037_20200420_20200508_01_T1
9506594,LC80350362020095LGN00,LC08_L1TP_035036_20200404_20200410_01_T1,LANDSAT_8,OLI_TIRS,2020-04-04,1,T1,2020-04-04T17:50:55.1030530Z,L1TP,35,36,1.08,35.66561,33.5363,-110.29746000000002,-107.76598999999999,1049788380,gs://gcp-public-data-landsat/LC08/01/035/036/LC08_L1TP_035036_20200404_20200410_01_T1
2356605,LC80350372020095LGN00,LC08_L1TP_035037_20200404_20200410_01_T1,LANDSAT_8,OLI_TIRS,2020-04-04,1,T1,2020-04-04T17:51:18.9940929Z,L1TP,35,37,0.44,34.22811,32.10434,-110.67133000000001,-108.18932,1058351986,gs://gcp-public-data-landsat/LC08/01/035/037/LC08_L1TP_035037_20200404_20200410_01_T1
408520,LC80370352020093LGN00,LC08_L1TP_037035_20200402_20200410_01_T1,LANDSAT_8,OLI_TIRS,2020-04-02,1,T1,2020-04-02T18:02:53.5130659Z,L1TP,37,35,4.59,37.10255,34.96171,-113.04093999999999,-110.43167,1074010398,gs://gcp-public-data-landsat/LC08/01/037/035/LC08_L1TP_037035_20200402_20200410_01_T1
2824697,LC80370362020093LGN00,LC08_L1TP_037036_20200402_20200410_01_T1,LANDSAT_8,OLI_TIRS,2020-04-02,1,T1,2020-04-02T18:03:17.3998690Z,L1TP,37,36,0.1,35.67581,33.52404,-113.4312,-110.86628999999999,1046321123,gs://gcp-public-data-landsat/LC08/01/037/036/LC08_L1TP_037036_20200402_20200410_01_T1
6521458,LC80380352020084LGN00,LC08_L1TP_038035_20200324_20200409_01_T1,LANDSAT_8,OLI_TIRS,2020-03-24,1,T1,2020-03-24T18:09:10.0950760Z,L1TP,38,35,3.65,37.12957,34.93496,-114.61976000000001,-111.95866000000001,1062633838,gs://gcp-public-data-landsat/LC08/01/038/035/LC08_L1TP_038035_20200324_20200409_01_T1
1625814,LC80380352020052LGN00,LC08_L1TP_038035_20200221_20200225_01_T1,LANDSAT_8,OLI_TIRS,2020-02-21,1,T1,2020-02-21T18:09:24.1439559Z,L1TP,38,35,1.52,37.12965,34.93525,-114.60965,-111.94881000000001,1032282620,gs://gcp-public-data-landsat/LC08/01/038/035/LC08_L1TP_038035_20200221_20200225_01_T1
7087473,LC80360372020038LGN00,LC08_L1TP_036037_20200207_20200211_01_T1,LANDSAT_8,OLI_TIRS,2020-02-07,1,T1,2020-02-07T17:57:53.2037830Z,L1TP,36,37,0.45,34.22253,32.108979999999995,-112.21704,-109.71892,1037663695,gs://gcp-public-data-landsat/LC08/01/036/037/LC08_L1TP_036037_20200207_20200211_01_T1
3677419,LC80350372020031LGN00,LC08_L1TP_035037_20200131_20200211_01_T1,LANDSAT_8,OLI_TIRS,2020-01-31,1,T1,2020-01-31T17:51:44.4018509Z,L1TP,35,37,1.7,34.22804,32.10386,-110.64906,-108.16656,1039327558,gs://gcp-public-data-landsat/LC08/01/035/037/LC08_L1TP_035037_20200131_20200211_01_T1
6800028,LC80350362020031LGN00,LC08_L1TP_035036_20200131_20200211_01_T1,LANDSAT_8,OLI_TIRS,2020-01-31,1,T1,2020-01-31T17:51:20.5108120Z,L1TP,35,36,0.17,35.66547,33.53572,-110.27484,-107.74283999999999,1039002731,gs://gcp-public-data-landsat/LC08/01/035/036/LC08_L1TP_035036_20200131_20200211_01_T1
808906,LC80370362020013LGN00,LC08_L1TP_037036_20200113_20200127_01_T1,LANDSAT_8,OLI_TIRS,2020-01-13,1,T1,2020-01-13T18:03:47.6494670Z,L1TP,37,36,1.45,35.675779999999996,33.524409999999996,-113.41133,-110.8464,1033406854,gs://gcp-public-data-landsat/LC08/01/037/036/LC08_L1TP_037036_20200113_20200127_01_T1
5105475,LC80370352020013LGN00,LC08_L1TP_037035_20200113_20200127_01_T1,LANDSAT_8,OLI_TIRS,2020-01-13,1,T1,2020-01-13T18:03:23.7626640Z,L1TP,37,35,0.63,37.10244,34.96203,-113.0207,-110.40803999999999,1060747440,gs://gcp-public-data-landsat/LC08/01/037/035/LC08_L1TP_037035_20200113_20200127_01_T1
5020717,LC80360362020006LGN00,LC08_L1TP_036036_20200106_20200114_01_T1,LANDSAT_8,OLI_TIRS,2020-01-06,1,T1,2020-01-06T17:57:38.0728840Z,L1TP,36,36,0.38,35.659490000000005,33.54094,-111.83081000000001,-109.29225,1043800573,gs://gcp-public-data-landsat/LC08/01/036/036/LC08_L1TP_036036_20200106_20200114_01_T1
10365518,LC80360372020006LGN00,LC08_L1TP_036037_20200106_20200114_01_T1,LANDSAT_8,OLI_TIRS,2020-01-06,1,T1,2020-01-06T17:58:01.9596879Z,L1TP,36,37,1.43,34.22253,32.10895,-112.21704,-109.71566999999999,1031810841,gs://gcp-public-data-landsat/LC08/01/036/037/LC08_L1TP_036037_20200106_20200114_01_T1
